Month,DepDelay_x_bar,DepDelay_x_Lcl,DepDelay_x_Ucl,DepDelay_x_test,ArrDelay_x_bar,ArrDelay_x_Lcl,ArrDelay_x_Ucl,ArrDelay_x_test,Final_test
11.0,0.09434444444444444,-8.288255402922635,8.476944291811526,0.2833333333333333,0.03158611111111111,-9.76261383801125,9.82578606023347,0.16666666666666666,0.22499999999999998
10.0,0.08449531737773154,-4.518913484453863,4.6879041192093265,0.4838709677419355,0.04285900104058274,-5.769402510025303,5.855120512106469,0.27419354838709675,0.3790322580645161
9.0,0.08431111111111113,-4.048988303796037,4.217610526018259,0.45,0.03945925925925926,-4.783740944251298,4.862659462769817,0.5333333333333333,0.4916666666666667
4.0,0.14950000000000002,-5.320863775120833,5.619863775120833,0.5833333333333334,0.1298712962962963,-6.885137607290576,7.144880199883169,0.4666666666666667,0.525
1.0,0.1787825182101977,-7.660444141672783,8.018009178093179,0.6129032258064516,0.16068331599028787,-8.488515361191089,8.809881993171667,0.5,0.5564516129032258
12.0,0.271165452653486,-9.704922056886069,10.247252962193041,0.6451612903225806,0.26057448838015956,-10.881628513400557,11.402777490160876,0.5161290322580645,0.5806451612903225
2.0,0.22723299476762074,-6.970935410218388,7.42540139975363,0.631578947368421,0.2071832358674464,-7.638148740728838,8.052515212463732,0.543859649122807,0.5877192982456141
8.0,0.1762330905306972,-6.10003249074633,6.452498671807725,0.6774193548387096,0.14191640652098508,-7.8499431711946075,8.133775984236578,0.5645161290322581,0.6209677419354839
5.0,0.1170343392299688,-3.8758427912711757,4.109911469731113,0.6612903225806451,0.10448231009365243,-5.426934632160227,5.6358992523475315,0.5967741935483871,0.6290322580645161
7.0,0.24105098855359,-8.89860813126325,9.380710108370431,0.6774193548387096,0.23382674297606665,-9.846051150689664,10.313704636641798,0.5806451612903226,0.6290322580645161
3.0,0.20474505723204994,-6.132573691178023,6.542063805642123,0.7419354838709677,0.17237209503988898,-6.597915363622028,6.942659553701806,0.5645161290322581,0.653225806451613
6.0,0.24812222222222224,-7.371313035981796,7.867557480426241,0.6833333333333333,0.23912838164251207,-8.302209700270486,8.780466463555511,0.6666666666666666,0.675
